buy, 0, 0, 15.0, 189.0, 10, -2845.0 
buy, 0, 1, 11.0, 269.0, 10, -2969.0 
buy, 0, 2, 22.0, 133.0, 10, -2936.0 
buy, 0, 3, 17.0, 173.0, 10, -2951.0 
buy, 0, 4, 14.0, 201.0, 10, -2824.0 
buy, 0, 5, 13.0, 229.0, 10, -2987.0 
buy, 0, 6, 11.0, 260.0, 10, -2870.0 
buy, 215, 5, 14.0, 213.17095508392305, 10, -2994.393371174923 
sell, 311, 4, 14, 208.8443342799016, 10, 2913.8206799186223 
buy, 324, 4, 13.0, 214.0423838119711, 10, -2792.5509895556243 
buy, 327, 6, 14.0, 204.70524578045234, 10, -2875.873440926333 
sell, 330, 5, 27.0, 191.43994104619048, 10, 5158.878408247143 
buy, 367, 3, 17.0, 173.40645495893367, 10, -2957.9097343018725 
sell, 372, 6, 25.0, 196.78224622102968, 10, 4909.556155525742 
sell, 380, 2, 22, 136.45145527080732, 10, 2991.932015957761 
buy, 434, 5, 14.0, 212.29677801278763, 10, -2982.154892179027 
sell, 439, 4, 13.0, 207.78676893518502, 10, 2691.2279961574054 
sell, 474, 3, 34.0, 170.96712682623564, 10, 5802.8823120920115 
buy, 489, 6, 14.0, 208.60550393828547, 10, -2930.4770551359966 
buy, 528, 1, 12.0, 241.91286497501983, 10, -2912.954379700238 
buy, 546, 3, 16.0, 177.57636078391806, 10, -2851.221772542689 
buy, 568, 4, 14.0, 205.8740412071817, 10, -2892.2365769005437 
buy, 582, 0, 16.0, 185.71831977969634, 10, -2981.4931164751415 
buy, 582, 2, 21.0, 139.16707286043197, 10, -2932.5085300690716 
sell, 852, 3, 16.0, 198.7752690673304, 10, 3170.4043050772866 
sell, 852, 5, 14.0, 298.7590652500202, 10, 4172.626913500283 
buy, 900, 3, 14.0, 201.6473336037215, 10, -2833.062670452101 
buy, 909, 5, 9.0, 320.7622189996793, 10, -2896.8599709971136 
sell, 1094, 3, 14.0, 205.00609016891568, 10, 2860.0852623648193 
sell, 1122, 2, 21.0, 165.71687663951803, 10, 3470.054409429879 
sell, 1132, 5, 9.0, 355.26868300914686, 10, 3187.418147082322 
buy, 1150, 5, 7.0, 376.73667798794526, 10, -2647.1567459156167 
sell, 1154, 1, 23.0, 316.27622262475023, 10, 7264.3531203692555 
buy, 1159, 2, 17.0, 173.60993545208828, 10, -2961.368902685501 
buy, 1166, 3, 13.0, 213.73749446717522, 10, -2788.587428073278 
buy, 1174, 1, 9.0, 316.15180249921855, 10, -2855.3662224929667 
sell, 1191, 1, 9.0, 312.4434436034707, 10, 2801.9909924312365 
buy, 1202, 1, 9.0, 315.0620980252192, 10, -2845.558882226973 
sell, 1212, 1, 9.0, 314.3631447832122, 10, 2819.2683030489097 
buy, 1293, 1, 9.0, 317.1338819866703, 10, -2864.204937880033 
sell, 1321, 0, 31.0, 253.2829671881838, 10, 7841.771982833698 
sell, 1321, 3, 13.0, 212.9119288748595, 10, 2757.855075373174 
buy, 1341, 3, 13.0, 217.87887866071452, 10, -2842.4254225892887 
sell, 1475, 2, 17.0, 176.44356171593307, 10, 2989.540549170862 
sell, 1482, 5, 7.0, 394.0594594190842, 10, 2748.4162159335892 
sell, 1492, 1, 9.0, 324.9618570064218, 10, 2914.656713057796 
buy, 1498, 5, 7.0, 399.1141803113797, 10, -2803.799262179658 
sell, 1501, 4, 14.0, 308.59039108796674, 10, 4310.265475231534 
sell, 1505, 3, 13.0, 215.7046471158164, 10, 2794.1604125056133 
sell, 1533, 6, 14.0, 431.39758029766784, 10, 6029.56612416735 
sell, 1543, 5, 7.0, 384.7861064815333, 10, 2683.502745370733 
buy, 1714, 4, 9.0, 300.99996969366737, 10, -2718.9997272430064 
buy, 1755, 6, 6.0, 429.6616109788513, 10, -2587.9696658731077 
sell, 1816, 6, 6.0, 424.2226084889391, 10, 2535.3356509336345 
sell, 1824, 4, 9.0, 301.31961378311917, 10, 2701.8765240480725 
